AKTV,#genre#
贵州卫视,http://183.51.190.237:6633/udp/239.77.0.230:5146
四川卫视,http://183.51.190.237:6633/udp/239.77.1.215:5146
四川卫视,http://183.51.190.237:6633/udp/239.77.0.159:5146
河南卫视,http://183.51.190.237:6633/udp/239.77.1.229:5146
河南卫视,http://183.51.190.237:6633/udp/239.77.0.17:5146
云南卫视,http://183.51.190.237:6633/udp/239.253.43.37:5146
云南卫视,http://183.51.190.237:6633/udp/239.253.43.100:5146
重庆卫视,http://183.51.190.237:6633/udp/239.77.1.162:5146
重庆卫视,http://183.51.190.237:6633/udp/239.77.0.182:5146
河北卫视,http://183.51.190.237:6633/udp/239.77.1.214:5146
河北卫视,http://183.51.190.237:6633/udp/239.77.0.148:5146
东南卫视,http://183.51.190.237:6633/udp/239.77.1.104:5146
东南卫视,http://183.51.190.237:6633/udp/239.77.0.146:5146
广西卫视,http://183.51.190.237:6633/udp/239.253.43.36:5146
广西卫视,http://183.51.190.237:6633/udp/239.77.0.139:5146
吉林卫视,http://183.51.190.237:6633/udp/239.77.1.111:5146
吉林卫视,http://183.51.190.237:6633/udp/239.77.0.150:5146
青海卫视,http://183.51.190.237:6633/udp/239.253.43.125:5146
海南卫视,http://183.51.190.237:6633/udp/239.253.43.35:5146
海南卫视,http://183.51.190.237:6633/udp/239.253.43.101:5146
甘肃卫视,http://183.51.190.237:6633/udp/239.77.0.189:5146
三沙卫视,http://183.51.190.237:6633/udp/239.253.43.113:5146
📡 广东,#genre#
广东综艺(4k),http://113.64.197.197:6633/udp/239.77.0.244:5146
广东综艺(4k),http://113.64.197.197:6633/udp/239.77.0.245:5146
广东珠江,http://113.64.197.197:6633/udp/239.77.0.1:5146
广东新闻,http://113.64.197.197:6633/udp/239.77.0.173:5146
广东民生,http://113.64.197.197:6633/udp/239.77.0.225:5146
广东体育,http://113.64.197.197:6633/udp/239.77.0.112:5146
经济科教,http://113.64.197.197:6633/udp/239.77.0.85:5146
广东影视,http://113.64.197.197:6633/udp/239.77.0.217:5146
广东少儿,http://113.64.197.197:6633/udp/239.77.0.250:5146
嘉佳卡通,http://113.64.197.197:6633/udp/239.77.0.179:5146
岭南戏曲,http://113.64.197.197:6633/udp/239.77.0.122:5146
现代教育,http://113.64.197.197:6633/udp/239.77.0.213:5146
广州综合,http://113.64.197.197:6633/udp/239.253.43.71:5146
广州新闻,http://113.64.197.197:6633/udp/239.253.43.72:5146
广州影视,http://113.64.197.197:6633/udp/239.253.43.73:5146
广州法治,http://113.64.197.197:6633/udp/239.253.43.74:5146
深圳都市频道,http://113.64.197.197:6633/udp/239.77.1.176:5146
深圳都市频道,http://113.64.197.197:6633/udp/239.77.1.124:5146
深圳电视剧频道,http://113.64.197.197:6633/udp/239.77.1.177:5146
深圳电视剧频道,http://113.64.197.197:6633/udp/239.77.1.125:5146
深圳财经生活,http://113.64.197.197:6633/udp/239.77.1.242:5146
深圳娱乐频道,http://113.64.197.197:6633/udp/239.77.1.243:5146
深圳体育健康,http://113.64.197.197:6633/udp/239.77.1.128:5146
深圳体育健康,http://113.64.197.197:6633/udp/239.77.1.140:5146
深圳少儿频道,http://113.64.197.197:6633/udp/239.77.1.244:5146
深圳公共频道,http://113.64.197.197:6633/udp/239.77.1.178:5146
深圳公共频道,http://113.64.197.197:6633/udp/239.77.1.126:5146
深圳宝安频道,http://113.64.197.197:6633/udp/239.77.1.67:5146
深圳龙岗频道,http://113.64.197.197:6633/udp/239.77.1.223:5146
深圳众创TV,http://113.64.197.197:6633/udp/239.77.1.247:5146
深圳宜和购物,http://113.64.197.197:6633/udp/239.77.1.87:5146
韶关新闻综合,http://113.64.197.197:6633/udp/239.77.0.117:5146
湛江新闻综合,http://113.64.197.197:6633/udp/239.77.0.141:5146
湛江公共,http://113.64.197.197:6633/udp/239.77.0.140:5146
揭阳综合,http://113.64.197.197:6633/udp/239.77.0.229:5146
揭阳生活,http://113.64.197.197:6633/udp/239.77.0.251:5146
汕尾新闻综合,http://113.64.197.197:6633/udp/239.77.0.25:5146
汕尾文化生活,http://113.64.197.197:6633/udp/239.77.0.187:5146
江门综合,http://113.64.197.197:6633/udp/239.77.0.201:5146
江门侨乡生活,http://113.64.197.197:6633/udp/239.77.0.202:5146
珠海-1,http://113.64.197.197:6633/udp/239.77.0.155:5146
珠海-2,http://113.64.197.197:6633/udp/239.77.0.154:5146
肇庆综合,http://113.64.197.197:6633/udp/239.253.43.1:5146
肇庆生活服务,http://113.64.197.197:6633/udp/239.253.43.2:5146
河源综合,http://113.64.197.197:6633/udp/239.253.43.213:5146
河源公共,http://113.64.197.197:6633/udp/239.253.43.214:5146
清远新闻综合,http://113.64.197.197:6633/udp/239.253.43.33:5146
清远文旅生活,http://113.64.197.197:6633/udp/239.253.43.34:5146
云浮综合,http://113.64.197.197:6633/udp/239.77.0.253:5146
云浮文旅,http://113.64.197.197:6633/udp/239.77.0.254:5146
茂名综合,http://113.64.197.197:6633/udp/239.77.0.206:5146
茂名文化生活,http://113.64.197.197:6633/udp/239.77.0.207:5146
汕头综合,http://113.64.197.197:6633/udp/239.77.1.130:5146
汕头综合,http://113.64.197.197:6633/udp/239.253.43.45:5146
汕头经济生活,http://113.64.197.197:6633/udp/239.77.1.131:5146
汕头经济生活,http://113.64.197.197:6633/udp/239.253.43.46:5146
汕头文旅体育,http://113.64.197.197:6633/udp/239.77.1.132:5146
汕头文旅体育,http://113.64.197.197:6633/udp/239.253.43.47:5146
佛山公共,http://113.64.197.197:6633/udp/239.253.43.53:5146
佛山南海,http://113.64.197.197:6633/udp/239.253.43.54:5146
佛山顺德,http://113.64.197.197:6633/udp/239.253.43.55:5146
佛山影视,http://113.64.197.197:6633/udp/239.253.43.56:5146
佛山综合,http://113.64.197.197:6633/udp/239.253.43.57:5146
东莞新闻综合,http://113.64.197.197:6633/udp/239.253.43.104:5146
东莞生活资讯,http://113.64.197.197:6633/udp/239.253.43.105:5146
中山综合,http://113.64.197.197:6633/udp/239.253.43.62:5146
香山文化,http://113.64.197.197:6633/udp/239.253.43.63:5146
潮州综合,http://113.64.197.197:6633/udp/239.253.43.70:5146
潮州民生,http://113.64.197.197:6633/udp/239.253.43.75:5146
徐闻综合,http://113.64.197.197:6633/udp/239.253.43.112:5146
梅州1套,http://113.64.197.197:6633/udp/239.253.43.123:5146
客家生活,http://113.64.197.197:6633/udp/239.253.43.124:5146
广东综艺(4k),http://183.51.190.237:6633/udp/239.77.0.244:5146
广东综艺(4k),http://183.51.190.237:6633/udp/239.77.0.245:5146
广东珠江,http://183.51.190.237:6633/udp/239.77.0.1:5146
广东新闻,http://183.51.190.237:6633/udp/239.77.0.173:5146
广东民生,http://183.51.190.237:6633/udp/239.77.0.225:5146
广东体育,http://183.51.190.237:6633/udp/239.77.0.112:5146
经济科教,http://183.51.190.237:6633/udp/239.77.0.85:5146
广东影视,http://183.51.190.237:6633/udp/239.77.0.217:5146
广东少儿,http://183.51.190.237:6633/udp/239.77.0.250:5146
嘉佳卡通,http://183.51.190.237:6633/udp/239.77.0.179:5146
岭南戏曲,http://183.51.190.237:6633/udp/239.77.0.122:5146
现代教育,http://183.51.190.237:6633/udp/239.77.0.213:5146
广州综合,http://183.51.190.237:6633/udp/239.253.43.71:5146
广州新闻,http://183.51.190.237:6633/udp/239.253.43.72:5146
广州影视,http://183.51.190.237:6633/udp/239.253.43.73:5146
广州法治,http://183.51.190.237:6633/udp/239.253.43.74:5146
深圳都市频道,http://183.51.190.237:6633/udp/239.77.1.176:5146
深圳都市频道,http://183.51.190.237:6633/udp/239.77.1.124:5146
深圳电视剧频道,http://183.51.190.237:6633/udp/239.77.1.177:5146
深圳电视剧频道,http://183.51.190.237:6633/udp/239.77.1.125:5146
深圳财经生活,http://183.51.190.237:6633/udp/239.77.1.242:5146
深圳娱乐频道,http://183.51.190.237:6633/udp/239.77.1.243:5146
深圳体育健康,http://183.51.190.237:6633/udp/239.77.1.128:5146
深圳体育健康,http://183.51.190.237:6633/udp/239.77.1.140:5146
深圳少儿频道,http://183.51.190.237:6633/udp/239.77.1.244:5146
深圳公共频道,http://183.51.190.237:6633/udp/239.77.1.178:5146
深圳公共频道,http://183.51.190.237:6633/udp/239.77.1.126:5146
深圳宝安频道,http://183.51.190.237:6633/udp/239.77.1.67:5146
深圳龙岗频道,http://183.51.190.237:6633/udp/239.77.1.223:5146
深圳众创TV,http://183.51.190.237:6633/udp/239.77.1.247:5146
深圳宜和购物,http://183.51.190.237:6633/udp/239.77.1.87:5146
韶关新闻综合,http://183.51.190.237:6633/udp/239.77.0.117:5146
湛江新闻综合,http://183.51.190.237:6633/udp/239.77.0.141:5146
湛江公共,http://183.51.190.237:6633/udp/239.77.0.140:5146
揭阳综合,http://183.51.190.237:6633/udp/239.77.0.229:5146
揭阳生活,http://183.51.190.237:6633/udp/239.77.0.251:5146
汕尾新闻综合,http://183.51.190.237:6633/udp/239.77.0.25:5146
汕尾文化生活,http://183.51.190.237:6633/udp/239.77.0.187:5146
江门综合,http://183.51.190.237:6633/udp/239.77.0.201:5146
江门侨乡生活,http://183.51.190.237:6633/udp/239.77.0.202:5146
珠海-1,http://183.51.190.237:6633/udp/239.77.0.155:5146
珠海-2,http://183.51.190.237:6633/udp/239.77.0.154:5146
肇庆综合,http://183.51.190.237:6633/udp/239.253.43.1:5146
肇庆生活服务,http://183.51.190.237:6633/udp/239.253.43.2:5146
河源综合,http://183.51.190.237:6633/udp/239.253.43.213:5146
河源公共,http://183.51.190.237:6633/udp/239.253.43.214:5146
清远新闻综合,http://183.51.190.237:6633/udp/239.253.43.33:5146
清远文旅生活,http://183.51.190.237:6633/udp/239.253.43.34:5146
云浮综合,http://183.51.190.237:6633/udp/239.77.0.253:5146
云浮文旅,http://183.51.190.237:6633/udp/239.77.0.254:5146
茂名综合,http://183.51.190.237:6633/udp/239.77.0.206:5146
茂名文化生活,http://183.51.190.237:6633/udp/239.77.0.207:5146
汕头综合,http://183.51.190.237:6633/udp/239.77.1.130:5146
汕头综合,http://183.51.190.237:6633/udp/239.253.43.45:5146
汕头经济生活,http://183.51.190.237:6633/udp/239.77.1.131:5146
汕头经济生活,http://183.51.190.237:6633/udp/239.253.43.46:5146
汕头文旅体育,http://183.51.190.237:6633/udp/239.77.1.132:5146
汕头文旅体育,http://183.51.190.237:6633/udp/239.253.43.47:5146
佛山公共,http://183.51.190.237:6633/udp/239.253.43.53:5146
佛山南海,http://183.51.190.237:6633/udp/239.253.43.54:5146
佛山顺德,http://183.51.190.237:6633/udp/239.253.43.55:5146
佛山影视,http://183.51.190.237:6633/udp/239.253.43.56:5146
佛山综合,http://183.51.190.237:6633/udp/239.253.43.57:5146
东莞新闻综合,http://183.51.190.237:6633/udp/239.253.43.104:5146
东莞生活资讯,http://183.51.190.237:6633/udp/239.253.43.105:5146
中山综合,http://183.51.190.237:6633/udp/239.253.43.62:5146
香山文化,http://183.51.190.237:6633/udp/239.253.43.63:5146
潮州综合,http://183.51.190.237:6633/udp/239.253.43.70:5146
潮州民生,http://183.51.190.237:6633/udp/239.253.43.75:5146
徐闻综合,http://183.51.190.237:6633/udp/239.253.43.112:5146
梅州1套,http://183.51.190.237:6633/udp/239.253.43.123:5146
客家生活,http://183.51.190.237:6633/udp/239.253.43.124:5146
📡 央视,#genre#
CCTV-1,http://113.64.197.197:6633/udp/239.77.1.17:5146
CCTV-1,http://113.64.197.197:6633/udp/239.77.1.144:5146
CCTV-1,http://113.64.197.197:6633/udp/239.77.0.119:5146
CCTV-2,http://113.64.197.197:6633/udp/239.77.1.158:5146
CCTV-3,http://113.64.197.197:6633/udp/239.77.0.169:5146
CCTV-4,http://113.64.197.197:6633/udp/239.77.1.163:5146
CCTV-4,http://113.64.197.197:6633/udp/239.77.1.166:5146
CCTV-4,http://113.64.197.197:6633/udp/239.77.0.78:5146
CCTV-4美洲,http://113.64.197.197:6633/udp/239.253.43.121:5146
CCTV-4欧洲,http://113.64.197.197:6633/udp/239.253.43.120:5146
CCTV-5,http://113.64.197.197:6633/udp/239.77.0.170:5146
CCTV-5+,http://113.64.197.197:6633/udp/239.77.0.87:5146
CCTV-5+,http://113.64.197.197:6633/udp/239.77.1.31:5146
CCTV-6,http://113.64.197.197:6633/udp/239.77.0.171:5146
CCTV-7,http://113.64.197.197:6633/udp/239.77.1.159:5146
CCTV-7,http://113.64.197.197:6633/udp/239.77.1.167:5146
CCTV-8,http://113.64.197.197:6633/udp/239.77.0.172:5146
CCTV-9,http://113.64.197.197:6633/udp/239.77.1.160:5146
CCTV-9,http://113.64.197.197:6633/udp/239.77.1.168:5146
CCTV-10,http://113.64.197.197:6633/udp/239.77.1.113:5146
CCTV-10,http://113.64.197.197:6633/udp/239.77.1.169:5146
CCTV-11,http://113.64.197.197:6633/udp/239.77.1.238:5146
CCTV-12,http://113.64.197.197:6633/udp/239.77.1.109:5146
CCTV-13,http://113.64.197.197:6633/udp/239.77.0.188:5146
CCTV-13,http://113.64.197.197:6633/udp/239.253.43.196:5146
CCTV-14,http://113.64.197.197:6633/udp/239.77.1.161:5146
CCTV-15,http://113.64.197.197:6633/udp/239.77.1.239:5146
CCTV-16,http://113.64.197.197:6633/udp/239.77.0.165:5146
CCTV-16,http://113.64.197.197:6633/udp/239.77.1.76:5146
CCTV-17,http://113.64.197.197:6633/udp/239.77.1.121:5146
CCTV-17农业,http://113.64.197.197:6633/udp/239.77.0.198:5146
CGTN英语,http://113.64.197.197:6633/udp/239.77.0.199:5146
CGTN Documentary,http://113.64.197.197:6633/udp/239.253.43.122:5146
CGTN西班牙语,http://113.64.197.197:6633/udp/239.77.0.221:5146
CGTN法语,http://113.64.197.197:6633/udp/239.77.0.228:5146
CGTN阿拉伯语,http://113.64.197.197:6633/udp/239.253.43.200:5146
CGTN俄语,http://113.64.197.197:6633/udp/239.253.43.201:5146
兵器科技,http://113.64.197.197:6633/udp/239.253.43.18:5146
兵器科技,http://113.64.197.197:6633/udp/239.253.43.9:5146
电视指南,http://113.64.197.197:6633/udp/239.253.43.19:5146
电视指南,http://113.64.197.197:6633/udp/239.253.43.10:5146
风云足球,http://113.64.197.197:6633/udp/239.253.43.20:5146
风云足球,http://113.64.197.197:6633/udp/239.253.43.14:5146
央视台球,http://113.64.197.197:6633/udp/239.253.43.21:5146
央视台球,http://113.64.197.197:6633/udp/239.253.43.11:5146
高尔夫网球,http://113.64.197.197:6633/udp/239.253.43.22:5146
高尔夫网球,http://113.64.197.197:6633/udp/239.253.43.12:5146
女性时尚,http://113.64.197.197:6633/udp/239.253.43.23:5146
女性时尚,http://113.64.197.197:6633/udp/239.253.43.8:5146
世界地理,http://113.64.197.197:6633/udp/239.253.43.24:5146
世界地理,http://113.64.197.197:6633/udp/239.253.43.7:5146
怀旧剧场,http://113.64.197.197:6633/udp/239.253.43.25:5146
怀旧剧场,http://113.64.197.197:6633/udp/239.253.43.5:5146
风云剧场,http://113.64.197.197:6633/udp/239.253.43.26:5146
风云剧场,http://113.64.197.197:6633/udp/239.253.43.16:5146
央视文化精品,http://113.64.197.197:6633/udp/239.253.43.27:5146
央视文化精品,http://113.64.197.197:6633/udp/239.253.43.13:5146
第一剧场,http://113.64.197.197:6633/udp/239.253.43.28:5146
第一剧场,http://113.64.197.197:6633/udp/239.253.43.15:5146
风云音乐,http://113.64.197.197:6633/udp/239.253.43.29:5146
风云音乐,http://113.64.197.197:6633/udp/239.253.43.6:5146
CCTV-1,http://183.51.190.237:6633/udp/239.77.1.17:5146
CCTV-1,http://183.51.190.237:6633/udp/239.77.1.144:5146
CCTV-1,http://183.51.190.237:6633/udp/239.77.0.119:5146
CCTV-2,http://183.51.190.237:6633/udp/239.77.1.158:5146
CCTV-3,http://183.51.190.237:6633/udp/239.77.0.169:5146
CCTV-4,http://183.51.190.237:6633/udp/239.77.1.163:5146
CCTV-4,http://183.51.190.237:6633/udp/239.77.1.166:5146
CCTV-4,http://183.51.190.237:6633/udp/239.77.0.78:5146
CCTV-4美洲,http://183.51.190.237:6633/udp/239.253.43.121:5146
CCTV-4欧洲,http://183.51.190.237:6633/udp/239.253.43.120:5146
CCTV-5,http://183.51.190.237:6633/udp/239.77.0.170:5146
CCTV-5+,http://183.51.190.237:6633/udp/239.77.0.87:5146
CCTV-5+,http://183.51.190.237:6633/udp/239.77.1.31:5146
CCTV-6,http://183.51.190.237:6633/udp/239.77.0.171:5146
CCTV-7,http://183.51.190.237:6633/udp/239.77.1.159:5146
CCTV-7,http://183.51.190.237:6633/udp/239.77.1.167:5146
CCTV-8,http://183.51.190.237:6633/udp/239.77.0.172:5146
CCTV-9,http://183.51.190.237:6633/udp/239.77.1.160:5146
